"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","高德天气 API","3","0","正常城市查询-数据驱动","0"
"4","","0","百度搜索 UI","0","0","正常搜索-数据驱动","0"
"1","","0","高德天气 API","0","0","异常参数-无效城市编码","0"
"3","","0","百度搜索 UI","0","0","特殊字符搜索","0"
"1","","0","百度搜索 UI","0","0","搜索框元素可见性","0"
"1","","0","百度搜索 UI","0","0","截图存档","0"
"1","","0","百度搜索 UI","0","0","页面基本元素校验","0"
"1","","0","高德天气 API","0","0","响应字段完整性","0"
"0","","0","高德天气 API","1","0","预报天气查询","0"
"0","","0","高德天气 API","1","0","异常参数-缺少 Key","0"
