"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"按关键词搜索仓库，应返回结果且字段完整","315","test_search_repo_by_keyword[playwright]","testcases.api","Tue Mar 17 04:23:20 UTC 2026","passed","Tue Mar 17 04:23:21 UTC 2026","TestGitHubSearchRepo","test_github","",""
"获取用户仓库列表，应为数组且每项含仓库基本信息","122","test_get_user_repos","testcases.api","Tue Mar 17 04:23:21 UTC 2026","passed","Tue Mar 17 04:23:22 UTC 2026","TestGitHubUser","test_github","",""
"GitHub API 响应头应包含 Rate-Limit 相关字段","28","test_rate_limit_headers","testcases.api","Tue Mar 17 04:23:22 UTC 2026","passed","Tue Mar 17 04:23:22 UTC 2026","TestGitHubResponseHeaders","test_github","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[\u81ea\u52a8\u5316\u6d4b\u8bd5]","testcases.ui","Tue Mar 17 04:23:33 UTC 2026","broken","Tue Mar 17 04:23:33 UTC 2026","TestBaiduSearch","test_baidu","",""
"按关键词搜索仓库，应返回结果且字段完整","409","test_search_repo_by_keyword[pytest]","testcases.api","Tue Mar 17 04:23:20 UTC 2026","passed","Tue Mar 17 04:23:20 UTC 2026","TestGitHubSearchRepo","test_github","",""
"按关键词搜索仓库，应返回结果且字段完整","201","test_search_repo_by_keyword[requests]","testcases.api","Tue Mar 17 04:23:21 UTC 2026","passed","Tue Mar 17 04:23:21 UTC 2026","TestGitHubSearchRepo","test_github","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[123456]","testcases.ui","Tue Mar 17 04:23:33 UTC 2026","broken","Tue Mar 17 04:23:33 UTC 2026","TestBaiduSearch","test_baidu","",""
"不传 Key 应返回鉴权失败","955","test_missing_api_key","testcases.api","Tue Mar 17 04:23:29 UTC 2026","passed","Tue Mar 17 04:23:30 UTC 2026","TestWeatherAPI","test_weather","",""
"空关键词应返回 422 参数错误","44","test_search_repo_empty_keyword","testcases.api","Tue Mar 17 04:23:21 UTC 2026","passed","Tue Mar 17 04:23:21 UTC 2026","TestGitHubSearchRepo","test_github","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","958","test_get_weather_success[440100-\u5e7f\u5dde]","testcases.api","Tue Mar 17 04:23:25 UTC 2026","passed","Tue Mar 17 04:23:26 UTC 2026","TestWeatherAPI","test_weather","",""
"per_page 参数生效，返回条数与请求一致","351","test_search_repo_pagination","testcases.api","Tue Mar 17 04:23:21 UTC 2026","passed","Tue Mar 17 04:23:21 UTC 2026","TestGitHubSearchRepo","test_github","",""
"不存在的组织应返回 404","44","test_get_nonexistent_org","testcases.api","Tue Mar 17 04:23:22 UTC 2026","passed","Tue Mar 17 04:23:22 UTC 2026","TestGitHubOrg","test_github","",""
"搜索框和搜索按钮应在首页存在于 DOM 中（百度弹窗可能遮挡 CSS visibility）","0","test_search_input_visible","testcases.ui","Tue Mar 17 04:23:33 UTC 2026","broken","Tue Mar 17 04:23:33 UTC 2026","TestBaiduSearch","test_baidu","",""
"获取 torvalds/linux 的 topics，响应应包含 names 数组","96","test_get_repo_topics","testcases.api","Tue Mar 17 04:23:22 UTC 2026","passed","Tue Mar 17 04:23:22 UTC 2026","TestGitHubRepo","test_github","",""
"打开百度首页，标题应包含'百度'","0","test_homepage_title","testcases.ui","Tue Mar 17 04:23:33 UTC 2026","broken","Tue Mar 17 04:23:33 UTC 2026","TestBaiduSearch","test_baidu","",""
"API 响应 Content-Type 应为 application/json","28","test_content_type_is_json","testcases.api","Tue Mar 17 04:23:22 UTC 2026","passed","Tue Mar 17 04:23:22 UTC 2026","TestGitHubResponseHeaders","test_github","",""
"不存在的仓库应返回 404","49","test_get_nonexistent_repo","testcases.api","Tue Mar 17 04:23:22 UTC 2026","passed","Tue Mar 17 04:23:22 UTC 2026","TestGitHubRepo","test_github","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[   ]","testcases.ui","Tue Mar 17 04:23:33 UTC 2026","broken","Tue Mar 17 04:23:33 UTC 2026","TestBaiduSearch","test_baidu","",""
"获取 github 组织信息，字段应完整","77","test_get_known_org","testcases.api","Tue Mar 17 04:23:22 UTC 2026","passed","Tue Mar 17 04:23:22 UTC 2026","TestGitHubOrg","test_github","",""
"搜索后截图，附加到 Allure 报告","0","test_search_with_screenshot","testcases.ui","Tue Mar 17 04:23:34 UTC 2026","broken","Tue Mar 17 04:23:34 UTC 2026","TestBaiduSearch","test_baidu","",""
"获取仓库贡献者列表，返回数组且字段完整
        注：torvalds/linux 贡献者数量过大，GitHub API 会返回 403，
        改用 pytest/pytest（规模适中的知名仓库）
        ","299","test_get_repo_contributors","testcases.api","Tue Mar 17 04:23:22 UTC 2026","passed","Tue Mar 17 04:23:22 UTC 2026","TestGitHubRepo","test_github","",""
"获取 torvalds/linux 仓库详情，字段应完整","130","test_get_known_repo","testcases.api","Tue Mar 17 04:23:22 UTC 2026","passed","Tue Mar 17 04:23:22 UTC 2026","TestGitHubRepo","test_github","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[Pytest\u6846\u67b6]","testcases.ui","Tue Mar 17 04:23:33 UTC 2026","broken","Tue Mar 17 04:23:33 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","943","test_get_weather_success[310000-\u4e0a\u6d77]","testcases.api","Tue Mar 17 04:23:24 UTC 2026","passed","Tue Mar 17 04:23:25 UTC 2026","TestWeatherAPI","test_weather","",""
